,num_of_shares,market_capital,enterprise_value,per_forecast,pbr,per_pbr,ev_ebitda_forecast,psr_forecast,pcfr_forecast,dividend_yield_forecast,dividend_yield_actual,debt_market_capital_ratio,cash_market_capital_ratio,ticker
0,52632857.0,163761192136.1613,432852192136.1613,12.130458676752689,1.5871100786586936,19.28137107149737,11.055120604182491,0.18195688015129027,5.715125013476699,1.2875404296314517,1.4484829833353825,173.5516647907183,8.98452864325589,1333.0
0,52631797.0,175624666489.4355,452171666489.4355,13.009234554772998,1.6376023729724978,21.33980517518747,11.548543354176724,0.19513851832159496,6.129150083389247,1.2008010260588455,1.3509011543162015,165.79180939068294,8.055450249508429,1333.0
0,52630636.0,172008515028.81357,457714515028.81354,11.683920193916933,1.4880015487323508,17.39475899402087,11.690108674179232,0.1897697072825066,5.751034849740035,1.2243904613790446,1.3774392690514254,175.10049271346807,8.93505764312171,1333.0
0,52630126.0,201604710035.9524,451166710035.9524,12.426276155308122,1.7461000349554163,21.727771978143934,11.180435707967536,0.22032563848760894,6.27833404746207,1.0485527299033197,1.0485527299033197,132.50672371812743,8.205806986457336,1333.0
0,52629270.0,209600312070.96774,468893312070.9677,12.329430121821636,1.8253573817217879,22.53608298936345,11.47279941450863,0.22782642616409537,6.376644723789711,1.0057289207459372,1.0057289207459372,130.62188249321648,6.746675290562708,1333.0
0,52627558.0,212942134478.5484,481539134478.5484,12.526007910502848,1.7676387266101787,22.18907763602171,11.782215181760423,0.23145884182450907,6.478312579207436,0.9907751101365855,0.9907751101365855,132.46184087957346,6.045552355718483,1333.0
0,52626544.0,198742328707.5862,479063328707.5862,11.690725218093307,1.562304586141027,18.28577796504312,11.721637599892004,0.21602427033433286,6.046313620553277,1.060394007140641,1.060394007140641,148.31530069522807,7.107705685915099,1333.0
0,52626382.0,186493054469.48718,437768054469.4872,10.970179674675718,1.4877311810511604,16.367389614692193,10.64534175239985,0.2011302951431723,5.662286084208381,1.1319720560693372,1.1319720560693372,141.64443385688946,6.523859546450105,1333.0
0,52626086.67741936,153458518965.25806,417869793158.80646,9.026971703838708,1.211600818352461,11.01243022036863,10.084703956916846,0.16325374358006173,4.659294357701545,1.380908033541531,1.380908033541531,182.64106616962275,9.192307682009588,1333.0
0,52625640.0,149315916692.90323,406423916692.9032,8.783289217229601,1.1504955671955188,10.109485941821205,9.808473711094294,0.15884671988606727,4.533517023709717,1.410382615290872,1.410382615290872,181.67852190474906,9.414273217129542,1333.0
0,52624966.9137931,129177963084.17241,399837876877.2759,9.092007891754877,0.9506266663415454,8.665042158565672,11.171999706045051,0.1403169255161022,4.266693896288634,1.649293160661349,1.649293160661349,225.39329254026438,13.359110099776633,1333.0
0,52624620.0,119076358905.0,359008358905.0,9.150386916923077,0.8978221710724734,8.20888182787334,10.512523211576204,0.1307198130989011,5.039859430335239,1.768377072845258,1.768377072845258,219.8633630241054,18.298844438551487,1333.0
