,num_of_shares,market_capital,enterprise_value,per_forecast,pbr,per_pbr,ev_ebitda_forecast,psr_forecast,pcfr_forecast,dividend_yield_forecast,dividend_yield_actual,debt_market_capital_ratio,cash_market_capital_ratio,ticker
0,7275000.0,4491021774.193548,3994727903.225806,21.09902065123886,2.8442114771354863,60.173904056229816,13.740757106562164,1.5929268989004772,17.82800222362221,0.0,,7.032212165591028,18.080358531109365,1401.0
0,7275000.0,5015056451.612904,4607078483.870968,23.110859224022597,3.0385262202933814,70.50448742604691,15.834224589444378,1.7413390456989244,19.59335533551691,0.0,,5.745634949630008,13.912073004898568,1401.0
0,7275000.0,6119261440.677966,5715250813.559322,28.19936147777865,3.5851660835961763,101.31445184218587,19.642939724974216,2.1247435557909604,23.907380695499505,0.0,,4.321425305265756,10.934161159727282,1401.0
0,7275000.0,6481851785.714286,6100286547.619047,29.87028472679394,3.7312015351760293,111.53164250377007,20.9625043802703,2.2506429811507935,25.31869494410606,0.0,,3.859045499424108,9.748139774832369,1401.0
0,7275000.0,11661942338.709677,11187166596.774193,39.99820666716218,6.341736096257709,256.1032838809773,26.223684497147556,3.4832044240213103,35.13227578584858,0.0,,2.016370284141046,6.117850421355379,1401.0
0,7276290.322580645,8461763241.935484,8120166338.709678,28.205877473118274,4.501750186797269,130.51428607572882,18.24494081460122,2.4887538946869077,24.88285511531795,0.0,,2.3978575279680534,6.464950083519145,1401.0
0,7279000.0,7486326000.0,7144233120.689655,24.95442,3.796490939686144,94.99002550880799,16.052147827480216,2.201860588235294,22.014461983626614,0.0,,2.352394889070585,6.973453360092363,1401.0
0,7279102.564102564,7181672564.102564,6685919487.179487,23.93890854700855,3.591277864987996,86.44613914405431,15.018681377889283,2.1122566365007547,21.111662062499825,0.0,,2.264471999915222,9.204319514141035,1401.0
0,7284225.806451613,6403245967.741936,5725282419.354838,19.65440644332911,3.0436014397224,60.02433100570135,11.980546857428,1.732803417511629,17.28717264877918,0.0,,2.374976023743629,13.028561207743271,1401.0
0,7290048.387096774,6796523370.967742,5955032500.0,20.533303235552097,3.1390788911552012,64.86745895756819,12.314981594838283,1.8099929083802244,18.097037413376675,0.0,,2.043574324053293,14.445250852211538,1401.0
0,7296000.0,6102223448.275862,5200481931.034483,18.43572038754037,2.712196730002011,52.432778606159225,10.754574263864844,1.62509279581248,16.248331686750085,0.0,,2.3122286834905794,17.72325277416413,1401.0
0,7302150.0,4969874550.0,4123882175.0,15.014726737160123,2.1642606183964936,32.80153182497145,8.528209034554454,1.3235351664447403,13.233316856351655,0.0,,2.684024212695089,19.86773778154578,1401.0
