,num_of_shares,market_capital,enterprise_value,per_forecast,pbr,per_pbr,ev_ebitda_forecast,psr_forecast,pcfr_forecast,dividend_yield_forecast,dividend_yield_actual,debt_market_capital_ratio,cash_market_capital_ratio,ticker
0,13320723.870967742,15035624384.516129,14855113900.64516,9.274356927670704,3.7307766899765755,34.66219336518099,6.150072421562293,0.5528752238217907,9.18535274552455,3.365410903979109,3.2823676458764965,21.440956491002666,22.738770458935047,1430.0
0,13338491.612903226,16818552143.225807,16247424336.774193,10.174562700076107,4.1480007051619125,42.35850702763811,6.61102125618501,0.6078921510545344,10.079276041455524,3.0347421926431575,2.9548805559946523,20.699137431290946,23.40462373845799,1430.0
0,13352040.0,19564133186.440678,17174994474.576271,11.835531268264171,4.426770144685728,52.93825622329002,6.988446364959479,0.7298114891577969,11.724689332271788,2.6159731361605845,2.547131737840568,16.77720484160698,28.77938716153658,1430.0
0,13352349.523809524,16540038097.142857,14968532335.238094,10.006072654048916,3.5830516348183727,35.94866382105316,6.090553449238511,0.7166394322852192,9.912032490885158,3.0749636876164677,2.9981670576750346,19.194561928436144,28.81687860558331,1430.0
0,13358540.0,14969536831.935484,9478066299.67742,9.076285247214763,2.9099808615614147,26.457938114416667,3.890088774235583,0.6021544674216182,8.984312293856696,3.395692624630769,3.395692624630769,11.361480212350923,48.25761040462224,1430.0
0,13358530.0,13748298744.048388,9591796485.983871,8.377663527635171,2.6939072140555678,22.868903168630816,3.954096020823665,0.5516902458055247,8.292269529146454,3.7463807633198765,3.7463807633198765,12.814978289592307,43.87108882763849,1430.0
0,13358509.0,10255189167.827587,6340718391.965517,7.474627673343721,1.890590350609627,14.146468189443718,3.1516321974654185,0.4770077290956596,7.383762191678777,4.958122901720262,4.958122901720262,11.739055709932485,50.37663710587782,1430.0
0,13354170.538461538,11770665394.0,9550619291.435898,8.579202182215743,2.113343477046461,18.17714171225984,4.747089725356121,0.5474982740592585,8.474865069111425,4.32217268902127,4.32217268902127,9.930469106429234,28.90506956052349,1430.0
0,13189309.0,8278418705.403226,5173147060.241936,9.07488804949013,1.4564427920032748,13.1991922114587,3.8274157778498554,0.4164832771588631,8.904984921789618,3.4290214657282556,6.102704211804603,1.9246722018793658,39.32389842282458,1430.0
0,13134505.774193548,8706601756.758064,8042659837.403226,9.927710098925957,1.6228452153834119,16.165035383120273,6.190418521243452,0.4352212825172738,9.73663012058459,3.0267857631414588,5.7508929499687715,13.8750877403536,21.256649444976887,1430.0
0,13027509.0,6916259605.655172,8892869416.0,7.8862709300515075,1.2889447912374095,10.400382412337095,6.844823062612617,0.34572654864559726,7.7344828073633325,3.8676570286840946,7.348548354499779,70.90628972043251,36.22608079847831,1430.0
0,13027509.0,6113809973.7,11148777623.7,6.971277050969212,1.128286757757254,7.952417180392525,8.514698462264514,0.30011176601406475,6.837160106659842,4.3100559689638285,8.10530745834971,127.60800966583504,44.169633246637275,1430.0
